hcpcs_code,state,code_category,avg_payment,p25_payment,p50_payment,p75_payment,p90_payment,p75_p25_spread,p90_p50_ratio,provider_count,total_claims
99213,LA,Office Visit,28.29,20.1,31.66,38.04,41.53,17.94,1.31,29904,1845283
99284,NC,ED Code,76,66.52,73.4,89.24,95.33,22.72,1.3,2308,64699
99214,SD,Office Visit,47.83,41.5,46.26,55.61,60.17,14.11,1.3,149,3444
99213,ME,Office Visit,52.31,43.48,54.03,64.37,70.32,20.89,1.3,1785,74772
99285,NC,ED Code,100.88,90.3,97.9,109.01,127.18,18.71,1.3,813,18101
99285,OR,ED Code,87.48,70.1,100,107.42,130.3,37.32,1.3,31,464
99285,TX,ED Code,82.11,71.06,92.37,101.45,118.92,30.39,1.29,1652,41128
99214,OH,Office Visit,51.79,40.35,54.01,63.67,69.59,23.32,1.29,25959,1027637
99213,AZ,Office Visit,40.82,32.86,43.14,50.38,55.51,17.52,1.29,9295,326401
99214,ID,Office Visit,89.5,77.73,88.75,100.27,114.85,22.54,1.29,1114,33384
99215,CT,Office Visit,71.34,62.27,75.09,85.46,96.79,23.19,1.29,1527,76681
99213,OH,Office Visit,34.71,27.3,36.27,42.56,46.92,15.26,1.29,26920,962437
99284,MI,ED Code,76.55,67.95,72.13,80.71,93.11,12.76,1.29,10237,396623
99285,MI,ED Code,100.33,88.03,96.95,106.72,124.67,18.69,1.29,8473,265192
99285,AP,ED Code,20.08,13.82,22.4,23.06,29,9.24,1.29,77,1166
99284,GA,ED Code,77.49,70.06,78.5,93.02,101.52,22.96,1.29,2608,88796
99213,NV,Office Visit,53.6,41.76,56.02,64.42,72.12,22.66,1.29,6649,243316
99214,ME,Office Visit,66.16,54.8,69.82,81.57,89.67,26.77,1.28,1541,45931
99213,DE,Office Visit,47.41,28.11,55.56,66.16,71.07,38.05,1.28,1235,58492
99285,TN,ED Code,91.03,81.29,90.71,103.56,115.82,22.27,1.28,592,14443
99285,FL,ED Code,80.96,47.82,90.18,104.48,115.75,56.66,1.28,1819,38789
99213,DC,Office Visit,58.75,46.67,61.98,74.69,79.25,28.02,1.28,2568,159642
99285,DE,ED Code,86.62,56.64,96.49,116.7,123.04,60.06,1.28,124,2253
99285,UT,ED Code,27.97,22.79,26.91,34.22,34.22,11.43,1.27,33,506
99214,OK,Office Visit,80.83,67.15,87.44,101.83,109.88,34.68,1.26,3622,159233
99285,LA,ED Code,88.71,80.2,86.71,97.02,108.08,16.82,1.25,223,5699
99284,WY,ED Code,78.7,71.83,79.09,90.88,98.64,19.05,1.25,388,8956
99213,MT,Office Visit,83.03,65.16,89.06,100.45,110.47,35.29,1.24,1838,51587
99213,OK,Office Visit,59.18,47.69,64.44,77.12,79.68,29.43,1.24,3636,237891
99213,UT,Office Visit,54.59,47.47,55.71,62.83,69.1,15.36,1.24,1786,41990
99214,GU,Office Visit,73.55,68.38,78.72,88.35,97.79,19.97,1.24,682,85633
99215,VT,Office Visit,113.39,104.09,117,131.4,145.43,27.31,1.24,155,7680
99283,AZ,ED Code,59.96,39.86,41.49,46.14,51.27,6.28,1.24,179,3751
99283,MS,ED Code,40.55,37.85,39.86,43.17,49.16,5.32,1.23,343,7205
99283,MN,ED Code,40.43,37.2,38.52,40.52,47.23,3.32,1.23,306,6438
99284,CA,ED Code,82.43,68.61,81.03,100,100,31.39,1.23,9336,217199
99283,IA,ED Code,41.24,38.27,39.86,45.32,49.16,7.05,1.23,1657,40241
99215,RI,Office Visit,112.4,89.35,118.86,135.61,145.66,46.26,1.23,510,28043
99283,WI,ED Code,40.11,37.45,39.86,45.26,49.16,7.81,1.23,2334,62491
99283,TN,ED Code,41.51,38.13,39.86,45.65,49.16,7.52,1.23,229,4494
99285,WV,ED Code,105.95,91.33,113.19,130.58,138.74,39.25,1.23,1566,33799
99283,OK,ED Code,39.65,35.87,39.86,39.86,49.16,3.99,1.23,146,2500
99283,MI,ED Code,50.39,37.76,39.86,46.53,49.16,8.77,1.23,3219,79206
99285,PA,ED Code,107.87,89.56,117.92,134.77,144.89,45.21,1.23,48248,1058024
99283,NM,ED Code,41.1,39.86,39.86,45.52,49.16,5.66,1.23,189,3561
99283,CO,ED Code,54.83,37.44,39.86,46.01,49.16,8.57,1.23,464,18481
99283,TX,ED Code,41.11,38.13,39.86,45.07,48.77,6.94,1.22,745,22511
99283,MO,ED Code,41.5,37.95,39.86,44.68,48.48,6.73,1.22,1491,42378
99285,DC,ED Code,98.65,93.48,98.54,107.8,120.34,14.32,1.22,178,4277
99283,LA,ED Code,42.15,38.05,40.41,46.57,49.16,8.52,1.22,108,2602
99214,TX,Office Visit,42.92,37.53,45.6,50.66,55.67,13.13,1.22,41853,1775323
99284,HI,ED Code,68.19,61.3,66.3,73.4,80.55,12.1,1.21,61,1192
99285,AZ,ED Code,91.88,80.04,96.05,106.72,116.62,26.68,1.21,551,9022
99284,AP,ED Code,23.61,20.63,24.71,27.68,30.01,7.05,1.21,44,550
99284,PR,ED Code,86.23,81.39,90.43,98.57,109.84,17.18,1.21,3008,536497
